title,authors,year,url,topic_tag
Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize External Memory,Yan et al.,2025,https://arxiv.org/abs/2508.19828,reinforcement_learning+memory_agent
Memory-T1: Reinforcement Learning for Temporal Reasoning in Multi-Agent Systems,Anonymous,2025,https://arxiv.org/abs/2512.20092,reinforcement_learning+memory_agent
Memo: Training Memory-Efficient Embodied Agents with Reinforcement Learning,Anonymous,2025,https://arxiv.org/abs/2510.19732,reinforcement_learning+memory_agent
MemAgent: Reshaping Long-Context LLM with Multi-Conv RL-based Memory Agent,Anonymous,2025,https://arxiv.org/abs/2507.02259,reinforcement_learning+memory_agent
EARL: Efficient Agentic Reinforcement Learning Systems for Large Language Models,Anonymous,2025,https://arxiv.org/abs/2510.05943,reinforcement_learning+memory_agent
A-MEM: Agentic Memory for LLM Agents,Anonymous,2025,https://arxiv.org/abs/2502.12110,reinforcement_learning+memory_agent
Reinforcement Learning for Dynamic Memory Allocation,Anonymous,2024,https://arxiv.org/abs/2410.15492,reinforcement_learning+memory_agent
Retrieval-Augmented Decision Transformer: External Memory for In-context RL,Anonymous,2024,https://arxiv.org/abs/2410.07071,reinforcement_learning+memory_agent
Deep reinforcement learning with time-scale invariant memory,Anonymous,2024,https://arxiv.org/abs/2412.15292,reinforcement_learning+memory_agent
Memory in the Age of AI Agents: A Survey,Anonymous,2025,https://arxiv.org/abs/2512.13564,reinforcement_learning+memory_agent
